step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,balance_error_orig,balance_error_dest,amount_to_balance_ratio,is_zero_balance_after,is_full_transfer,type_encoded,tx_count_last_1h,tx_volume_last_1h,tx_count_last_24h,pagerank,in_circular_ring,community_id,betweenness,high_risk_community,Risk_Score_IForest,Risk_Score_LOF,AE_Score,GNN_Risk_Score,Risk_Score_Ensemble,Is_Anomaly,Is_Anomaly_v2
11,CASH_OUT,31058.11,C1000197142,15736.0,0.0,C1833053127,0.0,31058.11,0,0,-15322.11,0.0,1.9735724725169983,1,0,1,0.0,0.0,0.0,1.517256959746606e-05,False,15.0,0.0,False,0.0481114222737693,0.0009870237471936,6.2361806e-08,0.8504565954208374,0.2248394278816327,1,1
10,CASH_OUT,34697.52,C1001077856,0.0,0.0,C877100627,86415.49,0.0,0,0,-34697.52,121113.01,34697.52,1,0,1,0.0,0.0,0.0,1.517256959746606e-05,False,91.0,0.0,False,0.0709435004369863,0.0005892914705503,1.1323797e-07,0.8581664562225342,0.232395381430383,1,1
10,TRANSFER,2175250.97,C1002174268,0.0,0.0,C753926456,6410178.1,8475469.61,0,0,-2175250.97,109959.4600000009,2175250.97,1,0,4,0.0,0.0,0.0,1.517256959746606e-05,False,164.0,0.0,False,0.8279472647602293,0.0006621343906192,8.543641e-06,0.0228582024574279,0.2128363567750319,1,1
11,TRANSFER,1470182.01,C1002708978,0.0,0.0,C921733929,2434287.86,3496735.46,0,0,-1470182.01,407734.41000000015,1470182.01,1,0,4,0.0,0.0,0.0,1.517256959746606e-05,False,205.0,0.0,False,0.6999671927728178,0.0007658955588199,5.145398e-06,0.2145946025848388,0.2287951715707108,1,1
6,CASH_OUT,25975.86,C1004271827,25975.86,0.0,C451934410,98152.0,28041.27,1,0,0.0,96086.59,0.9999615042002769,1,1,1,0.0,0.0,0.0,1.517256959746606e-05,False,8878.0,0.0,True,0.1242988924817557,0.0012450519653875,0.17338507,0.8825835585594177,0.3039851475109282,1,1
9,TRANSFER,1272120.1,C100450107,123191.63,0.0,C1027286355,393.0,1298768.49,0,0,-1148928.4700000002,-26255.389999999898,10.32626789443492,1,0,4,0.0,0.0,0.0,1.517256959746606e-05,False,325.0,0.0,False,0.4705825912881755,0.002119127791058,1.7472024e-06,0.4850635826587677,0.2393358932056729,1,1
10,CASH_OUT,35487.22,C100566476,65671.0,30183.78,C1144299241,5077.0,40564.22,0,0,0.0,0.0,0.5403706297965648,0,0,1,0.0,0.0,0.0,1.517256959746606e-05,False,390.0,0.0,False,0.0744457211681388,0.0005802961876702,1.6809916e-07,0.8581664562225342,0.2332691540149533,1,1
11,TRANSFER,2846983.44,C1007345782,1593.0,0.0,C996350141,30198.02,2877181.47,0,0,-2845390.44,-0.0100000002421438,1786.062383939774,1,0,4,0.0,0.0,0.0,1.517256959746606e-05,False,474.0,0.0,False,0.7212643505024439,0.0003186957896191,6.7531514e-06,0.15817891061306,0.2199265803824048,1,1
8,TRANSFER,2106899.77,C1008036274,0.0,0.0,C720759478,5856232.61,8118536.09,0,0,-2106899.77,-155403.70999999903,2106899.77,1,0,4,0.0,0.0,0.0,1.517256959746606e-05,False,513.0,0.0,False,0.8190056359295682,0.0008851687587406,8.018897e-06,0.6385623216629028,0.3645714288188312,1,1
11,CASH_OUT,22.86,C100882004,0.0,0.0,C705811030,470913.44,470936.3,0,0,-22.86,0.0,22.86,1,0,1,0.0,0.0,0.0,1.517256959746606e-05,False,562.0,0.0,False,0.0541934366906244,0.0011196617109906,2.707116e-07,0.957296907901764,0.2530965997037809,1,1
10,CASH_OUT,21878.14,C1011155731,0.0,0.0,C250012975,61734.0,0.0,0,0,-21878.14,83612.14,21878.14,1,0,1,0.0,0.0,0.0,1.517256959746606e-05,False,694.0,0.0,False,0.0498827754227546,0.0004238730172723,7.979634e-08,0.9236754775047302,0.2434743617742281,1,1
