engine_id,max_life_cycles,part_cost,unplanned_failure_cost,planned_maintenance_cost,savings_if_predicted
1,222,30624.48,270624.48,67840.44,202784.04
2,186,83195.56,323195.56,115632.33,207563.23
3,230,117233.58,357233.58,113270.98,243962.6
4,199,72377.84,312377.83999999997,85236.15,227141.69
5,240,50070.39,290070.39,71293.99,218776.4
6,244,82715.41,322715.41000000003,115195.83,207519.58
7,197,90853.67,330853.67,122594.24,208259.43
8,141,35058.96,275058.96,71871.78,203187.18
9,185,67798.79,307798.79,82374.23999999999,225424.55
10,152,85231.55,325231.55,93269.72,231961.83
11,135,85401.71,325401.71,117637.91,207763.8
12,157,56604.24,296604.24,91458.4,205145.84
13,125,63956.37,303956.37,79972.73000000001,223983.64
14,236,17704.0,257704.0,56094.55,201609.45
15,196,70928.02,310928.02,104480.01000000001,206448.01
16,193,66632.93,306632.93,100575.39,206057.54
17,142,21393.99,261393.99,59449.08,201944.91
18,182,59715.74,299715.74,94287.04000000001,205428.7
19,206,59718.34,299718.33999999997,94289.4,205428.94
20,187,73205.69,313205.69,85753.56,227452.13
