account,pagerank,in_flow,out_flow,in_circular_ring,connections,flow_ratio,community_id,community_fraud_rate,high_risk_community,betweenness
C1000028246,1.517256959746606e-05,0.0,77106.69,False,1,77106.69,11184,0.0,False,0.0
C1902027015,6.501024093130289e-05,1505918.46,0.0,False,4,0.0,11184,0.0,False,0.0
C100006673,1.517256959746606e-05,0.0,363683.6,False,1,363683.6,1757,0.0,False,0.0
C1445811732,5.2550823097843684e-05,1240117.3,0.0,False,3,0.0,1757,0.0,False,0.0
C1000103904,1.517256959746606e-05,0.0,489041.54,False,1,489041.54,5,0.0,False,0.0
C1024208640,6.501024093130289e-05,1169599.51,0.0,False,4,0.0,5,0.0,False,0.0
C1000109302,1.517256959746606e-05,0.0,36834.52,False,1,36834.52,9229,0.0,False,0.0
C1934483424,6.501024093130289e-05,2346731.73,0.0,False,4,0.0,9229,0.0,False,0.0
C1000148923,1.517256959746606e-05,0.0,124952.2,False,1,124952.2,9,0.0,False,0.0
C1834992330,0.00011484791226513974,1515399.92,0.0,False,8,0.0,9,0.0,False,0.0
C1000184524,1.517256959746606e-05,0.0,288309.35,False,1,288309.35,10,0.0,False,0.0
C1215615681,6.501024093130289e-05,528949.71,0.0,False,4,0.0,10,0.0,False,0.0
C1000187362,1.517256959746606e-05,0.0,144720.75,False,1,144720.75,12,0.0,False,0.0
C45472052,2.7631987430925268e-05,144720.75,0.0,False,1,0.0,12,0.0,False,0.0
C1000197142,1.517256959746606e-05,0.0,31058.11,False,1,31058.11,15,0.0,False,0.0
C1833053127,2.7631987430925268e-05,31058.11,0.0,False,1,0.0,15,0.0,False,0.0
C1000229380,1.517256959746606e-05,0.0,380114.95,False,1,380114.95,8681,0.0,False,0.0
C1049228732,7.74696587647621e-05,1152452.95,0.0,False,5,0.0,8681,0.0,False,0.0
C1000231597,1.517256959746606e-05,0.0,1361999.8,False,1,1361999.8,19,0.0,False,0.0
C458582664,2.7631987430925268e-05,1361999.8,0.0,False,1,0.0,19,0.0,False,0.0
C1000275155,1.517256959746606e-05,0.0,142665.69,False,1,142665.69,21,0.0,False,0.0
C499818578,4.0091405264384476e-05,324447.04000000004,0.0,False,2,0.0,21,0.0,False,0.0
C1000276595,1.517256959746606e-05,0.0,151501.59,False,1,151501.59,11242,0.0,False,0.0
C1601850161,5.2550823097843684e-05,605357.07,0.0,False,3,0.0,11242,0.0,False,0.0
C1000287699,1.517256959746606e-05,0.0,84968.82,False,1,84968.82,5581,0.0,False,0.0
C1698322543,5.2550823097843684e-05,1191895.3,0.0,False,3,0.0,5581,0.0,False,0.0
C1000292364,1.517256959746606e-05,0.0,170019.56,False,1,170019.56,27,0.0,False,0.0
C582320549,0.00013976674793205813,3245011.65,0.0,False,10,0.0,27,0.0,False,0.0
C1000303171,1.517256959746606e-05,0.0,236104.53,False,1,236104.53,29,0.0,False,0.0
C1374917762,6.501024093130289e-05,686206.89,0.0,False,4,0.0,29,0.0,False,0.0
C1000373644,1.517256959746606e-05,0.0,626539.45,False,1,626539.45,31,0.0,False,0.0
C2012581637,4.0091405264384476e-05,817436.94,0.0,False,2,0.0,31,0.0,False,0.0
C1000391286,1.517256959746606e-05,0.0,489529.89,False,1,489529.89,32,0.0,False,0.0
C970303959,6.501024093130289e-05,1230042.86,0.0,False,4,0.0,32,0.0,False,0.0
C1000404011,1.517256959746606e-05,0.0,402032.09,False,1,402032.09,35,0.0,False,0.0
C1919549402,0.00010238849443168052,1239889.11,0.0,False,7,0.0,35,0.0,False,0.0
C1000411454,1.517256959746606e-05,0.0,27540.67,False,1,27540.67,37,0.0,False,0.0
C1450133081,4.0091405264384476e-05,455188.8,0.0,False,2,0.0,37,0.0,False,0.0
C1000434667,1.517256959746606e-05,0.0,31010.94,False,1,31010.94,39,0.0,False,0.0
C1523536343,7.74696587647621e-05,1220123.1099999999,0.0,False,5,0.0,39,0.0,False,0.0
C1000505510,1.517256959746606e-05,0.0,40101.69,False,1,40101.69,41,0.0,False,0.0
C1970911987,7.74696587647621e-05,1142396.1,0.0,False,5,0.0,41,0.0,False,0.0
C1000546575,1.517256959746606e-05,0.0,419966.98,False,1,419966.98,42,0.0,False,0.0
C776132434,4.0091405264384476e-05,570856.24,0.0,False,2,0.0,42,0.0,False,0.0
C1000550088,1.517256959746606e-05,0.0,27832.35,False,1,27832.35,10682,0.0,False,0.0
C335151605,6.501024093130289e-05,291976.04,0.0,False,4,0.0,10682,0.0,False,0.0
C1000570585,1.517256959746606e-05,0.0,64387.74,False,1,64387.74,7855,0.0,False,0.0
C203712115,5.2550823097843684e-05,349132.76,0.0,False,3,0.0,7855,0.0,False,0.0
C1000582817,1.517256959746606e-05,0.0,340604.16,False,1,340604.16,4008,0.0,False,0.0
C414821585,0.00012730733009859893,2859086.03,0.0,False,9,0.0,4008,0.0,False,0.0
C1000603054,1.517256959746606e-05,0.0,264922.34,False,1,264922.34,51,0.0,False,0.0
C104634871,6.501024093130289e-05,902227.31,0.0,False,4,0.0,51,0.0,False,0.0
C1000607784,1.517256959746606e-05,0.0,58912.24,False,1,58912.24,5549,0.0,False,0.0
C713961699,4.0091405264384476e-05,131916.88,0.0,False,2,0.0,5549,0.0,False,0.0
C1000611738,1.517256959746606e-05,0.0,21549.94,False,1,21549.94,55,0.0,False,0.0
C1320699422,8.992907659822131e-05,1750007.05,0.0,False,6,0.0,55,0.0,False,0.0
C1000638448,1.517256959746606e-05,0.0,240192.49,False,1,240192.49,57,0.0,False,0.0
C380928130,6.501024093130289e-05,2052595.21,0.0,False,4,0.0,57,0.0,False,0.0
C1000677787,1.517256959746606e-05,0.0,212127.62,False,1,212127.62,58,0.0,False,0.0
C1206178620,4.0091405264384476e-05,241812.31,0.0,False,2,0.0,58,0.0,False,0.0
C1000678289,1.517256959746606e-05,0.0,566574.04,False,1,566574.04,4925,0.0,False,0.0
C711248671,0.00011484791226513974,3227337.8800000004,0.0,False,8,0.0,4925,0.0,False,0.0
C1000715148,1.517256959746606e-05,0.0,519526.28,False,1,519526.28,62,0.0,False,0.0
C1011433682,4.0091405264384476e-05,641155.87,0.0,False,2,0.0,62,0.0,False,0.0
C1000719581,1.517256959746606e-05,0.0,1280020.98,False,1,1280020.98,65,0.0,False,0.0
C1262822392,0.00021452325493281335,13261635.95,0.0,False,16,0.0,65,0.0,False,0.0
C1000740725,1.517256959746606e-05,0.0,467777.83,False,1,467777.83,67,0.0,False,0.0
C305793941,0.00012730733009859893,2037016.24,0.0,False,9,0.0,67,0.0,False,0.0
C100075556,1.517256959746606e-05,0.0,137882.96,False,1,137882.96,5184,0.0,False,0.0
C975650387,7.74696587647621e-05,602034.16,0.0,False,5,0.0,5184,0.0,False,0.0
C1000784017,1.517256959746606e-05,0.0,196431.09,False,1,196431.09,71,0.0,False,0.0
C681553481,8.992907659822131e-05,686780.84,0.0,False,6,0.0,71,0.0,False,0.0
C1000789920,1.517256959746606e-05,0.0,120640.25,False,1,120640.25,73,0.0,False,0.0
C900505277,4.0091405264384476e-05,291719.97,0.0,False,2,0.0,73,0.0,False,0.0
C1000839468,1.517256959746606e-05,0.0,2485895.39,False,1,2485895.39,74,0.0,False,0.0
C471600119,0.00011484791226513974,6535011.29,0.0,False,8,0.0,74,0.0,False,0.0
C1000845460,1.517256959746606e-05,0.0,25436.65,False,1,25436.65,77,0.0,False,0.0
C354836435,5.2550823097843684e-05,326797.02999999997,0.0,False,3,0.0,77,0.0,False,0.0
C1000848098,1.517256959746606e-05,0.0,29575.35,False,1,29575.35,79,0.0,False,0.0
C1220897602,0.00013976674793205816,5226268.16,0.0,False,10,0.0,79,0.0,False,0.0
C1000887041,1.517256959746606e-05,0.0,394691.85,False,1,394691.85,80,0.0,False,0.0
C1690808262,5.2550823097843684e-05,677061.21,0.0,False,3,0.0,80,0.0,False,0.0
C1000975429,1.517256959746606e-05,0.0,15361.97,False,1,15361.97,5634,0.0,False,0.0
C1406749291,0.00010238849443168052,892272.84,0.0,False,7,0.0,5634,0.0,False,0.0
C1000997134,1.517256959746606e-05,0.0,100790.27,False,1,100790.27,7819,0.0,False,0.0
C2006081398,0.00028927976193356857,11801000.04,0.0,False,22,0.0,7819,0.0,False,0.0
C1001007846,1.517256959746606e-05,0.0,444492.98,False,1,444492.98,87,0.0,False,0.0
C2133384710,5.2550823097843684e-05,949191.45,0.0,False,3,0.0,87,0.0,False,0.0
C1001070092,1.517256959746606e-05,0.0,125964.25,False,1,125964.25,89,0.0,False,0.0
C33524623,0.00022698267276627254,3664223.7800000003,0.0,False,17,0.0,89,0.0,False,0.0
C1001077856,1.517256959746606e-05,0.0,34697.52,False,1,34697.52,91,0.0,False,0.0
C877100627,2.7631987430925268e-05,34697.52,0.0,False,1,0.0,91,0.0,False,0.0
C100112624,1.517256959746606e-05,0.0,82133.5,False,1,82133.5,93,0.0,False,0.0
C124540047,6.501024093130289e-05,1216918.54,0.0,False,4,0.0,93,0.0,False,0.0
C1001156371,1.517256959746606e-05,0.0,195605.32,False,1,195605.32,2935,0.0,False,0.0
C1609742538,0.00011484791226513974,3195081.51,0.0,False,8,0.0,2935,0.0,False,0.0
C1001169347,1.517256959746606e-05,0.0,511664.51,False,1,511664.51,1951,0.0,False,0.0
C916641446,6.501024093130289e-05,3622646.89,0.0,False,4,0.0,1951,0.0,False,0.0
C1001210058,1.517256959746606e-05,0.0,141992.1,False,1,141992.1,99,0.0,False,0.0
